code,aerian,maritim,terestru,excepții,Culoare harta,name
AL,sporadic,închis,închis,Transport de mărfuri (uscat și maritim),,Albania
AT,restricționat,0,restrictionat,"Transport de mărfuri, echipaje zbor, zboruri de urgență, urgență, repatriere sau de traansfer",,Austria
BE,sporadic,N/A,restricționat,"Călătoriile în afara țarii, dacă nu sunt indispensabile",,Belgia
BA,restricționat,0,restricționat,"Acces refuzat cetățenilor din China (provincia Wuhan), Coreea de Sud, Italia, Japonia, Iran, Franța, Germania, Austria, Belgia, Elveția, România
Permis: Transport mărfuri, diplomați, personal medical și aviatic. ",,Bosnia şi Herţegovina
BG,închis,N/A,închis,"Diplomați, personal medical și aviatic, personal organizații internaționale
Cetățeni Bulgaria care se întorc acasă
Transport de mărfuri ( cu interdicție pentru Iran)
Tranzit permis pentru cetățenii care se deplasează spre state în care trăiesc sau locuiesc.",,Bulgaria
CZ,închis,,închis,"Permisă intrarea și ieșirea cetățenilor cehi și străini (cu rezidență) fără posibilitatea de întoarcere. 
Permisă intrarea/ieșirea transportatorilor, echipajelor de zbor, echipajelor feroviare, a echipajelor de nave și a celor de întreținere a drumurilor. ",,Cehia
CY,restricționat,,,"Zborurile din 28 de țări, printre care și România au fost interzise cu excepția celor cargo.  
Permis accesul: diplomați, personal medical și aviatic, personal organizații internaționale, cetățeni ciprioți, cetățeni străini cu crept de ședere",x,Cipru
HR,restricționat,,restricționat,"Permisă reîntoarcerea cetățenilor croați în țară și a cetățenilor UE în statele de rezidență
Transportatori, diplomați, transportatori, lucrători transfrontalieri, ofițeri poliție, personal militar internațional și personalul organizaților internaționale.",,Croația
DK,închis,închis,închis,"Permisă intrarea cetățenilor danezi și a cețățenilor străini cu card de securitate socială, permis de ședere sau motiv întemeiat. 
Permis tranzitul cu dovadă destinație ( nu e valabil pentru grupuri mari)
Transportatori de mărfuri",,Danemarca
CH,restricționat,restricționat,restricționat,"Permisă intrarea cetățenilor elvețieni și a celor cu permis de ședere, a lucrătorilor transfrontalieri
Permis tranzitul cu dovadă destinație
Traansportatori de mărfuri",,Elveţia
EE,închis,,închis,"Permisă intrarea cetățenilor estoni și a celor cu permis de rezidență sau drept de ședere.
Permisă tranzitarea spre țara de origine a celor ce nu au simptom
Diplomați și personal NATO fără simptome
Transport mărfuri",,Estonia
RU,închis,închis,închis,"
Permisă intrarea cetățenilor rușii, persoane în tranzit pe aeroporturi (care nu necesită viză)
Diplomați, delegații oficiale, echipaje nave, aeronave, trenuri internațiionale 
Transport mărfuri",,Federația Rusă
FI,închis,închis,închis,"Permisă intrarea cetățenilor finlandezi și a celor cu permis de rezidență sau drept de ședere.
Diplomați și personal NATO fără simptome
Transport mărfuri, deplasări necesare sau în înteres de serviciu",,Finlanda
FR,închis,închis,închis,"Măsurile nu se aplică cetățenilor din UK, Islanda, Elveția, Liechtenstein și Teritoriile de Peste Mări, cetățenilor străini care au titlu de sejur pentru un stat UE și cetățenilor francezi care vor să se întoarcă în țară.
Transport mărfuri
Personal medical",,Franța
DE,restricționat,restricționat,restricționat,"Permis traficul de mărfuri 

Tranzitul cetățenilor UE și cetățenilor statelor terțe către țara de domiciliu/ drept ședere.

Trecerea frontierei se face doar în baza unor documente justficative.

 Nu este permis accesul cetățenilor din „regiunile de risc”, așa cum este regiunea Grand Est din Franța.",,Germania
GR,restricționat,restricționat,restricționat,"Permis transportatori, diplomați, personal medical, rezidenți, cetățeni greci. 
Granița cu Bulgaria este încă deschisă. ",,Grecia
IE,deschis,deschis,,"Recomandată evitarea călătoriilor către Marea Britanie, cu excepția Irlandei de Nord, Cehia, Cipru, Danemarca, Malta, Polonia, Slovacia, Spania.",,Irlanda
IS,deschis,deschis,,"Carantină pentru cei care sosesc din exterior, cu excepția echipajelor de pe avioanele de pasageri, transport mărfurri și cargoboturi",,Islanda
IT,restricționat,restricționat,restricționat,"Transportul de mărfuri permis. Călătorii limitate la: urgențe, muncă, motive medicale",,Italia
LV,închis,închis,închis,"Transportatori de marfă dacă nu prezintă simptome
Pasageri ai aeronavelor de stat sau ai transporturilor militare
Navigatorii care se întorc în Letonia sau către locul de muncă
",,Letonia
LI,0,0,restricționat,N/A,,Liechtenstein
LT,închis,0,închis,"Transportatori de marfă 
Acces permis persoanelor cu drept de ședere, diplomați, personal NATO
Acces permis rezidenților
Permisă tranzitarea pentru întoarcerea în țara de reședință până la 23.03.2020
Doar tranzit feroviar fără oprire permis din 23.03.2020",,Lituania
LU,restricționat,0,restricționat,"Rezidenți, transportatori de mărfuri sau persoan
Personal medical, cei care lucrează transfrontalier
Diplomații, personalul organizațiilor internaționale
Pasagerii în tranzit, cei care călătoresc pentru urgențe sau motive familiale justificate
Cei care caută protecție internațională",,Luxemburg
MK,închis,0,închis,"E interzisă intrarea în țară, dar cetățenii români se pot întoarce prin punctele de frontieră care nu au fost închise complet",,Macedonia de Nord
MT,restricționat,restricționat,0,"Sunt suspendate cursele aeriene și navale de transport de pasageri dinspre și înspre: Italia, Franța, Germania, Elveția și Spania.",,Malta
ME,închis,închis,închis,Transportatorii de mărfuri,,Muntenegru
NO,închis,închis,închis,"Aeroporturile sunt încă deschise pentru a permite cetățenilor străini să poată pleca. Toate granițele sunt închise pentru cetățenii străini. 
Sunt menținute cursele aeriene interne",,Norvegia
PL,,,,,,Polonia
PT,,,,,,Portugalia
GB,,,,,,Regatul Unit al Marii Britanii şi Irlandei de Nord
MD,,,,,,Republica Moldova
RO,,,,,,România
YF,,,,,,Serbia
SK,,,,,,Slovacia
SI,,,,,,Slovenia
ES,,,,,,Spania
SE,,,,,,Suedia
TR,,,,,,Turcia
NL,,,,,,Regatul Ţărilor de Jos
UA,,,,,,Ucraina
HU,restrictionat,N/A,restrictionat,,,Ungaria
